,neg,neu,pos,compound
636,0.4,0.154,0.446,0.0772
637,0.0,1.0,0.0,0.0
638,0.0,1.0,0.0,0.0
639,0.163,0.719,0.118,-0.7519
640,0.133,0.867,0.0,-0.0191
641,0.079,0.751,0.17,0.541
642,0.0,1.0,0.0,0.0
643,0.0,1.0,0.0,0.0
644,0.0,1.0,0.0,0.0
645,0.0,1.0,0.0,0.0
646,0.0,0.423,0.577,0.6249
647,0.815,0.185,0.0,-0.5267
648,0.0,0.575,0.425,0.5719
649,0.815,0.185,0.0,-0.5267
650,0.0,1.0,0.0,0.0
651,0.224,0.345,0.431,0.34
652,0.4,0.154,0.446,0.0772
653,0.0,1.0,0.0,0.0
654,0.0,1.0,0.0,0.0
655,0.0,1.0,0.0,0.0
656,0.0,1.0,0.0,0.0
657,0.452,0.548,0.0,-0.5106
658,0.0,1.0,0.0,0.0
659,0.0,1.0,0.0,0.0
660,0.63,0.37,0.0,-0.6249
661,0.302,0.698,0.0,-0.5994
662,0.247,0.753,0.0,-0.3182
663,0.368,0.345,0.287,-0.1779
664,0.0,1.0,0.0,0.0
665,0.0,1.0,0.0,0.0
666,0.0,1.0,0.0,0.0
667,0.0,1.0,0.0,0.0
668,1.0,0.0,0.0,-0.8074
669,0.0,1.0,0.0,0.0
670,0.306,0.694,0.0,-0.296
671,0.0,0.734,0.266,0.7845
672,0.0,1.0,0.0,0.0
673,0.0,0.658,0.342,0.8074
674,0.0,1.0,0.0,0.0
675,0.326,0.674,0.0,-0.4404
676,0.107,0.704,0.189,0.296
677,0.0,1.0,0.0,0.0
678,0.0,1.0,0.0,0.0
679,0.0,1.0,0.0,0.0
680,0.105,0.718,0.177,0.3612
681,0.146,0.732,0.122,-0.128
682,0.155,0.845,0.0,-0.296
683,0.0,1.0,0.0,0.0
684,0.41,0.494,0.097,-0.8228
685,0.0,1.0,0.0,0.0
686,0.0,0.237,0.763,0.8643
687,0.0,1.0,0.0,0.0
688,0.231,0.769,0.0,-0.4588
689,0.163,0.698,0.14,0.0772
690,0.0,1.0,0.0,0.0
691,0.0,1.0,0.0,0.0
692,0.0,0.78,0.22,0.4767
693,0.0,1.0,0.0,0.0
694,0.0,1.0,0.0,0.0
695,0.209,0.609,0.183,-0.0772
696,0.0,1.0,0.0,0.0
697,0.118,0.882,0.0,-0.0516
698,0.286,0.714,0.0,-0.34
699,0.464,0.536,0.0,-0.3818
700,0.048,0.747,0.205,0.6103
701,0.0,0.863,0.137,0.2263
702,0.0,1.0,0.0,0.0
703,0.0,0.787,0.213,0.2263
704,0.0,1.0,0.0,0.0
705,0.474,0.526,0.0,-0.875
706,0.0,1.0,0.0,0.0
707,0.0,0.641,0.359,0.4215
708,0.0,1.0,0.0,0.0
709,0.0,1.0,0.0,0.0
710,0.0,1.0,0.0,0.0
711,0.025,0.851,0.124,0.8016
712,0.0,1.0,0.0,0.0
713,0.0,1.0,0.0,0.0
714,0.0,1.0,0.0,0.0
715,0.0,1.0,0.0,0.0
716,0.0,1.0,0.0,0.0
717,0.0,1.0,0.0,0.0
718,0.0,1.0,0.0,0.0
719,0.0,1.0,0.0,0.0
720,0.462,0.538,0.0,-0.6486
721,0.021,0.868,0.112,0.7351
722,0.102,0.831,0.067,-0.6712
723,0.0,1.0,0.0,0.0
724,0.0,0.942,0.058,0.4767
725,0.0,1.0,0.0,0.0
726,0.0,1.0,0.0,0.0
727,0.437,0.563,0.0,-0.4767
