,neg,neu,pos,compound
169,0.0,1.0,0.0,0.0
170,0.0,1.0,0.0,0.0
171,0.0,0.756,0.244,0.4404
172,0.0,1.0,0.0,0.0
173,0.0,1.0,0.0,0.0
174,0.297,0.703,0.0,-0.2755
175,0.0,0.734,0.266,0.4404
176,0.0,1.0,0.0,0.0
177,0.278,0.722,0.0,-0.4019
178,0.0,0.808,0.192,0.2263
179,0.0,1.0,0.0,0.0
180,0.0,1.0,0.0,0.0
181,0.346,0.385,0.269,-0.1531
182,0.0,0.707,0.293,0.4404
183,0.425,0.575,0.0,-0.4019
184,0.0,1.0,0.0,0.0
185,0.0,1.0,0.0,0.0
186,0.0,1.0,0.0,0.0
187,0.0,1.0,0.0,0.0
188,0.0,0.667,0.333,0.3612
189,0.0,1.0,0.0,0.0
190,0.0,1.0,0.0,0.0
191,0.0,1.0,0.0,0.0
192,0.0,1.0,0.0,0.0
193,0.0,1.0,0.0,0.0
194,0.0,1.0,0.0,0.0
195,0.0,1.0,0.0,0.0
196,0.143,0.587,0.27,0.2681
197,0.0,1.0,0.0,0.0
198,0.0,0.924,0.076,0.2263
199,0.0,1.0,0.0,0.0
200,0.0,1.0,0.0,0.0
201,0.0,1.0,0.0,0.0
202,0.0,0.633,0.367,0.4404
203,0.0,1.0,0.0,0.0
204,0.0,1.0,0.0,0.0
205,0.0,1.0,0.0,0.0
206,0.0,0.816,0.184,0.7269
207,0.0,1.0,0.0,0.0
208,0.0,1.0,0.0,0.0
209,0.0,1.0,0.0,0.0
210,0.146,0.662,0.192,0.1779
211,0.0,1.0,0.0,0.0
212,0.0,1.0,0.0,0.0
213,0.0,0.889,0.111,0.25
214,0.0,1.0,0.0,0.0
215,0.0,0.676,0.324,0.34
216,0.0,1.0,0.0,0.0
217,0.0,1.0,0.0,0.0
218,0.074,0.926,0.0,-0.4767
219,0.0,1.0,0.0,0.0
220,0.0,1.0,0.0,0.0
221,0.0,0.848,0.152,0.3612
222,0.0,1.0,0.0,0.0
223,0.0,1.0,0.0,0.0
224,0.089,0.807,0.104,-0.128
225,0.0,1.0,0.0,0.0
226,0.0,1.0,0.0,0.0
227,0.0,1.0,0.0,0.0
228,0.0,1.0,0.0,0.0
229,0.0,0.707,0.293,0.4404
230,0.0,0.633,0.367,0.4404
231,0.0,1.0,0.0,0.0
232,0.0,1.0,0.0,0.0
233,0.0,0.842,0.158,0.5719
234,0.0,1.0,0.0,0.0
235,0.0,1.0,0.0,0.0
236,0.0,1.0,0.0,0.0
237,0.0,1.0,0.0,0.0
238,0.0,1.0,0.0,0.0
239,0.0,0.947,0.053,0.2263
240,0.149,0.709,0.142,-0.0258
241,0.404,0.596,0.0,-0.4717
242,0.199,0.693,0.108,-0.4767
243,0.0,1.0,0.0,0.0
244,0.0,1.0,0.0,0.0
245,0.0,1.0,0.0,0.0
246,0.0,1.0,0.0,0.0
247,0.0,1.0,0.0,0.0
248,0.0,0.625,0.375,0.2023
249,0.0,1.0,0.0,0.0
250,0.0,0.606,0.394,0.0772
251,0.0,0.625,0.375,0.2023
252,0.0,0.256,0.744,0.4404
253,0.0,0.323,0.677,0.2732
254,0.474,0.526,0.0,-0.2023
255,0.0,0.588,0.412,0.2732
256,0.0,1.0,0.0,0.0
257,0.0,1.0,0.0,0.0
258,0.0,1.0,0.0,0.0
259,0.0,1.0,0.0,0.0
260,0.0,1.0,0.0,0.0
261,0.0,1.0,0.0,0.0
262,0.0,1.0,0.0,0.0
263,0.0,1.0,0.0,0.0
264,0.0,1.0,0.0,0.0
265,0.091,0.909,0.0,-0.34
266,0.0,0.529,0.471,0.7906
267,0.0,0.913,0.087,0.2263
268,0.0,0.807,0.193,0.8338
269,0.224,0.776,0.0,-0.3818
270,0.0,1.0,0.0,0.0
271,0.0,1.0,0.0,0.0
272,0.0,1.0,0.0,0.0
273,0.0,1.0,0.0,0.0
274,0.0,1.0,0.0,0.0
275,0.0,1.0,0.0,0.0
276,0.0,1.0,0.0,0.0
277,0.0,1.0,0.0,0.0
278,0.0,1.0,0.0,0.0
279,0.0,0.772,0.228,0.6808
280,0.0,1.0,0.0,0.0
281,0.0,1.0,0.0,0.0
282,0.0,1.0,0.0,0.0
283,0.0,1.0,0.0,0.0
284,0.0,1.0,0.0,0.0
285,0.0,1.0,0.0,0.0
286,0.0,0.667,0.333,0.3612
287,0.0,1.0,0.0,0.0
288,0.141,0.614,0.245,0.3384
289,0.0,0.654,0.346,0.5719
290,0.0,1.0,0.0,0.0
291,0.0,1.0,0.0,0.0
292,0.0,0.682,0.318,0.4215
293,0.0,1.0,0.0,0.0
294,0.204,0.73,0.066,-0.8126
295,0.0,1.0,0.0,0.0
296,0.0,1.0,0.0,0.0
297,0.0,1.0,0.0,0.0
298,0.167,0.833,0.0,-0.3818
299,0.342,0.658,0.0,-0.3818
300,0.0,1.0,0.0,0.0
301,0.0,1.0,0.0,0.0
302,0.0,1.0,0.0,0.0
303,0.0,1.0,0.0,0.0
304,0.0,1.0,0.0,0.0
305,0.0,1.0,0.0,0.0
306,0.0,1.0,0.0,0.0
307,0.0,1.0,0.0,0.0
308,0.0,0.547,0.453,0.701
309,0.0,0.571,0.429,0.4588
310,0.178,0.822,0.0,-0.0772
311,0.0,1.0,0.0,0.0
312,0.0,1.0,0.0,0.0
313,0.0,1.0,0.0,0.0
314,0.0,1.0,0.0,0.0
315,0.0,1.0,0.0,0.0
